organism,NOSC,eC_ratio
PCC6803,-0.1635201785698862,4.163520178569886
PCC6803,-0.16994400929656964,4.16994400929657
PCC6803,-0.16697667156878876,4.166976671568789
PCC6803,-0.16616758070426974,4.16616758070427
PCC6803,-0.16365770917989814,4.1636577091798985
PCC6803,-0.16654489973185346,4.1665448997318535
PCC6803,-0.16815268921941187,4.168152689219412
PCC6803,-0.16495822632002632,4.164958226320026
PCC6803,-0.16748361898902334,4.167483618989023
PCC6803,-0.16776926576610232,4.167769265766102
PCC6803,-0.1621877947597452,4.162187794759745
PCC6803,-0.17061817617320174,4.1706181761732015
PCC6803,-0.1676462975800569,4.167646297580057
PCC6803,-0.16403609596517135,4.164036095965171
PCC6803,-0.17088380606725076,4.170883806067251
PCC6803,-0.16658755535297673,4.166587555352977
PCC6803,-0.16611412721410446,4.1661141272141045
PCC6803,-0.16811686946773477,4.168116869467735
PCC6803,-0.1653296138005662,4.165329613800566
PCC6803,-0.16297730139746205,4.162977301397462
PCC6803,-0.16621788825065018,4.16621788825065
PCC6803,-0.16723478057845634,4.167234780578457
PCC6803,-0.1652208659024446,4.165220865902445
PCC6803,-0.16538904036166335,4.165389040361664
PCC6803,-0.16438441833133094,4.1643844183313306
PCC6803,-0.1688657491480884,4.168865749148089
PCC6803,-0.16374879480016022,4.16374879480016
PCC6803,-0.16512785675624927,4.165127856756249
PCC6803,-0.1685376985384528,4.168537698538453
PCC6803,-0.16548233926239467,4.165482339262395
PCC6803,-0.16550229487467857,4.1655022948746785
PCC6803,-0.16253089595804682,4.162530895958047
PCC6803,-0.16772897096832737,4.167728970968327
PCC6803,-0.1691718857585267,4.1691718857585265
PCC6803,-0.16624443828961175,4.1662444382896116
PCC6803,-0.1635472277899236,4.163547227789923
PCC6803,-0.16767990464732602,4.167679904647326
PCC6803,-0.16494854857415533,4.164948548574156
PCC6803,-0.16493833775558747,4.164938337755587
PCC6803,-0.16388033502334762,4.1638803350233475
PCC6803,-0.16636888764271426,4.166368887642714
PCC6803,-0.1685295321939948,4.168529532193995
PCC6803,-0.1655698320590013,4.165569832059001
PCC6803,-0.1699170566616091,4.1699170566616095
PCC6803,-0.1674513557100528,4.167451355710053
PCC6803,-0.16564237380980773,4.165642373809808
PCC6803,-0.1690330571415771,4.1690330571415775
PCC6803,-0.16743093117262342,4.167430931172623
PCC6803,-0.16649480384795096,4.166494803847951
PCC6803,-0.1660716866948639,4.166071686694864
PCC6803,-0.16860740091410947,4.16860740091411
PCC6803,-0.1667417372973578,4.166741737297357
PCC6803,-0.1665084807052229,4.166508480705223
PCC6803,-0.1676000232014612,4.167600023201461
PCC6803,-0.16631915569026867,4.166319155690268
PCC6803,-0.16630449873308795,4.166304498733088
PCC6803,-0.16751813678542207,4.167518136785422
PCC6803,-0.16600970691123149,4.166009706911232
PCC6803,-0.1652101285833323,4.1652101285833325
PCC6803,-0.1676169688863218,4.167616968886322
PCC6803,-0.16993762449961916,4.169937624499619
PCC6803,-0.16802218420261888,4.168022184202619
PCC6803,-0.1667364901411221,4.166736490141122
PCC6803,-0.1663322811164971,4.166332281116497
PCC6803,-0.1648526677514071,4.164852667751407
PCC6803,-0.16537088602345687,4.165370886023457
PCC6803,-0.1653737576071365,4.165373757607137
PCC6803,-0.1640244920341132,4.164024492034113
PCC6803,-0.1651481823253551,4.165148182325355
PCC6803,-0.1655444995328036,4.165544499532803
PCC6803,-0.16805929169074219,4.168059291690742
PCC6803,-0.16464409474486844,4.164644094744869
PCC6803,-0.17077576677015713,4.1707757667701575
PCC6803,-0.1683987853190079,4.168398785319008
PCC6803,-0.16638447788223112,4.166384477882231
PCC6803,-0.1637500302705949,4.163750030270595
PCC6803,-0.1693309296928748,4.169330929692875
PCC6803,-0.16469965639880366,4.1646996563988035
PCC6803,-0.16535355539268182,4.165353555392682
PCC6803,-0.16650298008581052,4.16650298008581
PCC6803,-0.16420829901498576,4.164208299014986
PCC6803,-0.16516597888850698,4.165165978888507
PCC6803,-0.1692067239675576,4.169206723967558
PCC6803,-0.1668866623497951,4.166886662349795
PCC6803,-0.1636447874080003,4.163644787408001
PCC6803,-0.16845667841262638,4.1684566784126265
PCC6803,-0.16648315748793982,4.1664831574879395
PCC6803,-0.16497769452392158,4.164977694523921
PCC6803,-0.16860601179722703,4.168606011797227
PCC6803,-0.16773103261367456,4.167731032613674
PCC6803,-0.16607484216444618,4.166074842164446
PCC6803,-0.1670779210501491,4.167077921050149
PCC6803,-0.16796766374403246,4.167967663744032
PCC6803,-0.16300602748944826,4.163006027489448
PCC6803,-0.16655256550538305,4.166552565505383
PCC6803,-0.16787050148057817,4.167870501480579
PCC6803,-0.16777583176309352,4.167775831763094
PCC6803,-0.1654756834896881,4.165475683489688
PCC6803,-0.16409387570945205,4.164093875709452
PCC6803,-0.16400949545415117,4.1640094954541516
PCC6803,-0.16632555411439956,4.166325554114399
PCC6803,-0.16692706903367793,4.166927069033678
PCC6803,-0.16369920267172752,4.163699202671728
PCC6803,-0.16789250956179894,4.167892509561799
PCC6803,-0.16675877514404125,4.166758775144041
PCC6803,-0.16520073498799925,4.165200734987999
PCC6803,-0.16499829734501037,4.164998297345011
PCC6803,-0.1618373132847795,4.16183731328478
PCC6803,-0.16832319360106138,4.168323193601061
PCC6803,-0.16614778538725433,4.166147785387254
PCC6803,-0.16847899517402767,4.168478995174028
PCC6803,-0.16368847752851737,4.163688477528518
PCC6803,-0.16266311433485606,4.1626631143348565
PCC6803,-0.1679767262332374,4.1679767262332375
PCC6803,-0.16398785340668995,4.16398785340669
PCC6803,-0.16483371664499577,4.164833716644996
PCC6803,-0.1637304569534871,4.163730456953487
