number_nonzero,r2,alpha,conditions_included,organism_key
48,0.9538696704186908,5.4286754393238595e-09,all,coli
11,0.9978227112479782,4.71486636345739e-09,chemostat,coli
24,0.9990603015694512,4.71486636345739e-09,batch,coli
27,0.9960603304488145,4.71486636345739e-09,both,coli
53,0.9635093638502847,4.71486636345739e-09,all,coli
11,0.9979893468796988,4.094915062380419e-09,chemostat,coli
24,0.9992357593505496,4.094915062380419e-09,batch,coli
26,0.9968922554613858,4.094915062380419e-09,both,coli
52,0.9720638078399919,4.094915062380419e-09,all,coli
12,0.9982155307754234,3.556480306223121e-09,chemostat,coli
25,0.9994473821139628,3.556480306223121e-09,batch,coli
26,0.9977614191671875,3.556480306223121e-09,both,coli
55,0.9786153520379365,3.556480306223121e-09,all,coli
14,0.9989753644534113,3.088843596477485e-09,chemostat,coli
25,0.9995962257985863,3.088843596477485e-09,batch,coli
26,0.9983331794284492,3.088843596477485e-09,both,coli
53,0.9804852684193328,3.088843596477485e-09,all,coli
13,0.9992318131206872,2.6826957952797275e-09,chemostat,coli
27,0.9994484298683151,2.6826957952797275e-09,batch,coli
25,0.9987682241339366,2.6826957952797275e-09,both,coli
54,0.9842627671692582,2.6826957952797275e-09,all,coli
15,0.9996586296365115,2.3299518105153718e-09,chemostat,coli
28,0.9992031939343451,2.3299518105153718e-09,batch,coli
26,0.9989742830588889,2.3299518105153718e-09,both,coli
54,0.9872273416852728,2.3299518105153718e-09,all,coli
18,0.9999490855203804,2.0235896477251556e-09,chemostat,coli
29,0.9992942468811232,2.0235896477251556e-09,batch,coli
33,0.9985519006599097,2.0235896477251556e-09,both,coli
56,0.9896400946514746,2.0235896477251556e-09,all,coli
15,0.9998070508600356,1.7575106248547966e-09,chemostat,coli
29,0.9992994994142694,1.7575106248547966e-09,batch,coli
32,0.9986013792383173,1.7575106248547966e-09,both,coli
55,0.9844514150129751,1.7575106248547966e-09,all,coli
15,0.9998543170248545,1.5264179671752366e-09,chemostat,coli
30,0.9994369493490424,1.5264179671752366e-09,batch,coli
33,0.9986747033136494,1.5264179671752366e-09,both,coli
58,0.9865401101563612,1.5264179671752366e-09,all,coli
15,0.9998901054892335,1.3257113655901108e-09,chemostat,coli
31,0.9992390249964772,1.3257113655901108e-09,batch,coli
39,0.997936886920109,1.3257113655901108e-09,both,coli
53,0.9921571766370008,1.3257113655901108e-09,all,coli
15,0.9999166176642335,1.151395399326448e-09,chemostat,coli
32,0.9997260967139014,1.151395399326448e-09,batch,coli
40,0.998709570139665,1.151395399326448e-09,both,coli
55,0.9937529190183833,1.151395399326448e-09,all,coli
25,0.9997050286595175,1e-09,chemostat,coli
32,0.9997933475961981,1e-09,batch,coli
38,0.9989383655944335,1e-09,both,coli
55,0.9951529776017106,1e-09,all,coli
